ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;14826.833333333334;0.5626597917191448;0.48878414290926664;0.5101850160602812;0.5660013452813628;0.29468983618078787;0.24830375249759165;0.2628873489098695;0.7799041840410742;0.5616227382335198;0.6636523613817008;0.7618809334643527;0.45415033523554066;0.3986663009958736;0.090689408020837;0.4551602567436223;0.05298583331194894;0.5988354980764083;0.8215617397343771;0.48830977465773917;0.4406654958734135;0.056529968598638465;0.4551602567436223;0.05298583331194894;0.5646760586542097
100;12911.583333333334;0.6178433285250186;0.5631014271320917;0.5791796797350544;0.5510834113569317;0.32380693553457296;0.28478531155872466;0.29793846599993346;0.7683103115245208;0.5683428307627907;0.7137417117285279;0.8337769428589574;0.4368211743230256;0.40307889002859254;0.05736428911891563;0.5058145365580589;0.02927568092125634;0.5924545065982306;0.8768263553726118;0.45838182980787345;0.43080347804401736;0.03580363363406776;0.5058145365580589;0.02927568092125634;0.5708938511133829
150;16257.416666666666;0.6213551157392158;0.5678782703224319;0.5856954914007354;0.605815118749773;0.3558968216913519;0.3228928759454483;0.3343208585816287;0.7947748299101384;0.6391624834061226;0.7339304390824142;0.7921251681685603;0.5417786074822349;0.4772625380693613;0.08335568617086478;0.37486570634690036;0.05854495426717889;0.5167663467849439;0.8383444711452346;0.5719150482545654;0.5162503478237848;0.0532192453985342;0.37486570634690036;0.05854495426717889;0.4866299060126134
200;19433.2;0.5958926721014514;0.6353002226533581;0.6093972593684583;0.6288890999979039;0.35892552791178406;0.38068059425942113;0.3663016068439432;0.8045713964950949;0.6819794815645533;0.7485381038860558;0.7559080748216052;0.6275432457612776;0.5243592799752165;0.10393494526400655;0.26852180897471584;0.1021860219338204;0.47464277617254275;0.8006842369226356;0.6636403815923272;0.5698747507417676;0.06783780943295699;0.26852180897471584;0.1021860219338204;0.4385456403414932
250;15743.433333333332;0.6323490067663252;0.6242595665473397;0.621351160028866;0.5946192445571962;0.37098063038989404;0.36022963232016003;0.36156441968530084;0.7876747263500385;0.639971680883492;0.7421093711256151;0.8167246956274149;0.5316588488673762;0.47785212737099697;0.07136729154285017;0.39697385958977344;0.04620642822029415;0.5145475793529177;0.8596487103437725;0.558397826246146;0.5130939286952264;0.044628314164080495;0.39697385958977344;0.04620642822029415;0.4878086019741481
300;16261.466666666667;0.6294053158095287;0.6072328774585617;0.611637551894551;0.6085115394633797;0.3800485022279389;0.3620717026818754;0.3670757025660029;0.7893557737878094;0.6511222121022511;0.7481770415223218;0.8141940284784536;0.5475837451316248;0.4899549676087024;0.07426784703537491;0.37814840783300036;0.04927418134874444;0.5016904362171197;0.8563426167499214;0.5748175974573065;0.5259472900120072;0.047033994709692925;0.37814840783300036;0.04927418134874444;0.4744565838914378
350;17211.066666666666;0.6238378979679028;0.5812544618856064;0.5952627654982463;0.6188513491802817;0.3862670577731683;0.35769958259500656;0.36749844147818805;0.7879777323661644;0.657415290089771;0.7470624153336806;0.7973318438486336;0.5649647480090376;0.49780212668131185;0.08420720823440868;0.3508280437565538;0.05790416876607612;0.49293942075703867;0.8446917687580964;0.5970645732409355;0.539744633038141;0.052107383002510534;0.3508280437565538;0.05790416876607612;0.4608395955251405
400;17970.966666666667;0.6303758482754673;0.6063180293936582;0.6130375503566984;0.62872978235324;0.38707314816403854;0.37201782939209516;0.37638782008261157;0.7954023294814699;0.6808991691241336;0.7569346213695166;0.7928735022251636;0.6022184502302482;0.5231132789279918;0.0879810746698014;0.30980047509995023;0.07199970154591857;0.46978125131567017;0.833389138026821;0.6321694181050291;0.5620595439667901;0.05803010679502066;0.30980047509995023;0.07199970154591857;0.4398302834408895
450;15368.5;0.6407930765048048;0.6870635186299936;0.6584922528181342;0.5729342297072304;0.355281480455046;0.37280991603041463;0.36129731290734585;0.7791574466787944;0.639860929937056;0.7430604926371753;0.8266969320732817;0.5254036832231247;0.47500920532041435;0.06799318714235389;0.4066031296345214;0.042602312359090386;0.5171986291359657;0.8688095395573949;0.5514944469706115;0.5096578160897781;0.04190242339486709;0.4066031296345214;0.042602312359090386;0.4911078653884788
500;20479.0;0.6115503486330709;0.6775611670084224;0.6395090380632416;0.644058731598349;0.3827869583441827;0.42388901287914676;0.4002879907804596;0.8078174698849383;0.7079248256404097;0.7682189055244465;0.7609491417442832;0.6667278096998019;0.5539310967793741;0.10443247140483951;0.22883971889535856;0.11017381704189222;0.44344600734209033;0.8032726523870004;0.703248685049658;0.6005239822589237;0.06791159605498341;0.22883971889535856;0.11017381704189222;0.4069251319922342
550;19027.5;0.632922854657441;0.6392020816515811;0.6314479066573455;0.6393827624889094;0.4015155106393737;0.40463231790756127;0.40020417751851206;0.8017561814484181;0.6955358705250878;0.7653589661005371;0.7824211601226566;0.6305298511544132;0.5399414800303026;0.09503278151323213;0.27443736733235463;0.08131468359622446;0.4507848324418113;0.8266888957921197;0.6651869024592669;0.5852147593072717;0.06037573020837836;0.27443736733235463;0.08131468359622446;0.4161277811369575
600;18396.183333333334;0.6463053465176541;0.6653844918740981;0.6513990291917596;0.6351345272446012;0.40821824839443027;0.41773879061935904;0.41026565689765365;0.8014816729683479;0.6948487456075996;0.7687075133443064;0.7999618741929412;0.6182945453926593;0.5384887520548925;0.08522003147131024;0.2964854231360306;0.06951619010237103;0.4512216447097118;0.8409571471394217;0.649086337305421;0.5795178129549929;0.05442823955854845;0.2964854231360306;0.06951619010237103;0.42042985279695005
650;17213.85;0.6307283977497683;0.6951372155961881;0.6573126764160477;0.6129618360577743;0.3844445997464883;0.4188786744242033;0.3985211190549784;0.7940267590362723;0.6817109154685125;0.7647574725242969;0.8146049530294917;0.5900467651097898;0.5230168385270543;0.07808353351944033;0.3318697013707698;0.05646652471536392;0.46641975960557414;0.8549043780768226;0.6183392251154788;0.560881026100304;0.04979107351375149;0.3318697013707698;0.05646652471536392;0.4381272995998853
700;18398.383333333335;0.6576806495296086;0.6691148410581443;0.6593156696763551;0.6389628183048153;0.412843390824574;0.41905495853343305;0.41343132984687575;0.8059199143575486;0.6990398168654725;0.7715885512337428;0.7992921746206284;0.6254889990684972;0.5433351633768808;0.08718966481895893;0.287321336112544;0.07174013248281;0.4462511334143128;0.8398594116401916;0.6563419142716197;0.5842920755624424;0.056336749615836325;0.287321336112544;0.07174013248281;0.4153982182111902
750;22251.816666666666;0.5911305600583107;0.6521691848742883;0.6160024107416197;0.6498408085952937;0.3689956163787333;0.4084281881922525;0.38521746358494174;0.8109603361649459;0.7056276704207105;0.7593567827787111;0.7245212659316389;0.6933850064987823;0.5523690718642013;0.12211175461798426;0.18450323888323344;0.15038890962870383;0.45700390312992156;0.7685515012923738;0.7351770580620902;0.6029848932557528;0.08031970305467624;0.18450323888323344;0.15038890962870383;0.4152118515666135
800;19132.75;0.6403103525056687;0.6813911213230833;0.6565950270516175;0.638122908911787;0.4031126672118263;0.4273208776258651;0.4126210176687803;0.8039006973916664;0.7038463122294595;0.7702430660635561;0.7878249727528827;0.6399530895750568;0.5488545930688103;0.09043222243142604;0.2696146879935173;0.08461969145310747;0.4446666018780508;0.8269610607914034;0.6711668880403158;0.5897046152171306;0.05921842396616688;0.2696146879935173;0.08461969145310747;0.41345280341279167
