ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1480.8055555555557;0.8538296864155037;0.6882731484160112;0.7449692661287759;0.7914585715573444;0.6400072793059641;0.543703008250767;0.5802201444137081;0.9091012509574625;0.8921596442815886;0.9466718424678544;0.8936650943506302;0.8924531739238102;0.8074154925254932;0.023195916455510862;0.08435090962067891;0.08535821609774771;0.19290504217393753;0.8955637622873913;0.8942969666673224;0.8103907348718854;0.021352123711998676;0.08435090962067891;0.08535821609774771;0.19106124943042538
100;1365.888888888889;0.8610219892189834;0.7030592310268842;0.7611105001074087;0.7962811331256434;0.6473015553303217;0.5522242700812034;0.5896721445236721;0.9114764191831972;0.8793814246454432;0.9408201331262364;0.9249103914141311;0.8403592192923379;0.7873807859088943;0.020994467232814937;0.13864631347484718;0.04829657557768365;0.2079373562853458;0.9277482127353915;0.8428484570307496;0.7914440128235414;0.0185052294944033;0.13864631347484718;0.04829657557768365;0.20544811854693412
150;1378.25;0.8601316575949901;0.7160761157251254;0.7700920666531155;0.7967076598023287;0.6515451915592982;0.5650950237349276;0.6000491022012524;0.910835445597347;0.8802179416477596;0.940549490673638;0.9196458930376424;0.8463338358408282;0.7887575890268708;0.021135868030184947;0.1325302961289867;0.05447234077313278;0.2081385049323044;0.9226776563694636;0.8489556504077148;0.7930313416766861;0.018514053463298506;0.1325302961289867;0.05447234077313278;0.20551669036541795
200;1407.1666666666667;0.8468452406856373;0.7091739565818121;0.7586762602844092;0.7890186208119504;0.633112080960993;0.5543401449359429;0.5850295251066712;0.9075384690504608;0.8819211430672981;0.9380320633875178;0.9101445073718738;0.857535720525965;0.7915384794942292;0.021404620531796485;0.12105965894223851;0.06486074817293702;0.20732502764697197;0.9133233456488266;0.8603653095897046;0.7960989510112753;0.018575031468057005;0.12105965894223851;0.06486074817293702;0.20449543858323252
250;1402.0;0.8501754715988628;0.7076693825468711;0.7599200823411417;0.789468974832842;0.631243402445655;0.5478161894525626;0.5806919942884544;0.9102823228509204;0.8803231573394386;0.9344428306847828;0.9092454622319843;0.8551369336870943;0.7889889312398873;0.022805628794271258;0.12205743751863427;0.06407745217448114;0.20894051848738668;0.9123393625570437;0.8578861652475032;0.7934086134057456;0.020056397233862447;0.12205743751863427;0.06407745217448114;0.20619128692697786
300;1395.5833333333333;0.8424195610738803;0.7166777223330569;0.7629975655241151;0.7914832636268475;0.6296089903736878;0.5566112298436157;0.5851744588400181;0.9082222828641636;0.877950798751418;0.9347553355082516;0.9067710601871156;0.8531071851615615;0.7852613998123439;0.02307691818109804;0.12381589665734061;0.0664860064409473;0.21337882127938593;0.909930449467248;0.8558518375155674;0.7896883838165184;0.020332265827092126;0.12381589665734061;0.0664860064409473;0.21063416892538
350;1460.611111111111;0.8199952599130611;0.7043947959067522;0.7458216978049378;0.7927496061934929;0.6121103825100722;0.5468600214876819;0.5722607929888219;0.9122714735851155;0.8827788211410122;0.9343349448402086;0.8892967313790735;0.8784326172978997;0.7928618447927231;0.02679153900004421;0.09477584370205615;0.08541467016955646;0.20698205287165686;0.8923228725074139;0.8812466134005699;0.7973070941673357;0.023977542897374044;0.09477584370205615;0.08541467016955646;0.20416805676898667
400;1428.9722222222222;0.8317418169463765;0.71113181423563;0.7557716463017532;0.7921385069295108;0.6251254897110273;0.5550215559030502;0.5828328029303668;0.9112507281671908;0.8811199656507892;0.9330643051410138;0.9025978979985742;0.862808827251319;0.7902530144853972;0.023563295142038768;0.11362787760664217;0.0719381540304264;0.20912932677910734;0.905538282481954;0.8654732706100342;0.7944837519014804;0.02089885178332354;0.11362787760664217;0.0719381540304264;0.20646488342039213
450;1370.638888888889;0.8348677007082747;0.724590756040599;0.7662433018526428;0.7855790120960477;0.6148218710642617;0.5527074231185847;0.577573171828393;0.9087098691201043;0.8725065466314261;0.9299634976258976;0.9090588303167739;0.8417819573993806;0.7768001247776591;0.023777196506192852;0.13444084609442664;0.06311573895928649;0.22133378155990596;0.9120362571880327;0.8443478286656791;0.7809420742579881;0.021211325239894312;0.13444084609442664;0.06311573895928649;0.21876791029360743
500;1410.5;0.8348076892151947;0.7144948994129792;0.7595913754886907;0.7895341370789488;0.623423159871521;0.5551076321862338;0.5828900104001504;0.9086392349375664;0.8787935384246591;0.9337372964930917;0.9028617241510379;0.8591766476632567;0.7869252803436889;0.023853623780712277;0.11696972855603097;0.07189914748137483;0.21272249981811808;0.9058953219276913;0.8618927784907324;0.791314788313814;0.021137492953236612;0.11696972855603097;0.07189914748137483;0.21000636899064243
