ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;1423.888888888889;0.8622893508008316;0.7003886595313579;0.7568719217052791;0.7977146990986477;0.6554660406558868;0.5588392657724554;0.5954441121001188;0.906702876498049;0.8898653645927995;0.9483009719782809;0.9128483012049311;0.8698824060854151;0.8039526141766588;0.021538131340889537;0.10857946257369527;0.063463607066071;0.19358120098065584;0.914993246070925;0.8718491240112477;0.8071936224819065;0.019571413415057016;0.10857946257369527;0.063463607066071;0.19161448305482331
100;1408.3333333333333;0.8471395617573984;0.7126354773221341;0.7608862384644535;0.793382347120107;0.6350316378041978;0.5588374765115888;0.5883032658125411;0.9087206406680194;0.8819113333303371;0.9406148014942922;0.9152439043037481;0.853223105146365;0.7916622476095125;0.022675482790244766;0.12410141206339032;0.057749617306766116;0.20452651216040119;0.917636540916409;0.8554204093381778;0.7952300856230008;0.020478178598432033;0.12410141206339032;0.057749617306766116;0.20232920796858847
150;1468.2222222222222;0.8389940844428763;0.702427860373237;0.7495626702021412;0.7942822279692272;0.6272469176161614;0.5503937829920058;0.5796093165630333;0.9087821946929697;0.8872451862945069;0.937170566170043;0.8928686350024615;0.8838736014643346;0.8000308065352472;0.024973317385422647;0.09115308115024279;0.083899883956782;0.20002628249244744;0.895657482926904;0.8865186543978656;0.8042956930805379;0.022328264451891563;0.09115308115024279;0.083899883956782;0.19738122955891638
200;1424.5555555555557;0.8357801136589478;0.7092882028619094;0.7526123683543057;0.7932935881318603;0.6212899625264141;0.5530119257955226;0.5784526311718576;0.9078063321438106;0.8842339274916972;0.9377030280128663;0.905293819892589;0.866139878747621;0.7952539338672213;0.023644112683829162;0.11021600856854981;0.06901980675025121;0.20287992800263022;0.9078507549471875;0.868493993512507;0.7990425463709377;0.021289997918943263;0.11021600856854981;0.06901980675025121;0.20052581323774432
250;1399.75;0.8417145873969591;0.7173759258090806;0.7620984227523544;0.794762456878829;0.6245830062178296;0.5562098215312894;0.5825770839716531;0.9101800545730409;0.8812147094442078;0.9342055131884932;0.9078546070948885;0.8589626826448266;0.7908340962401594;0.023597542615466028;0.11743977473970738;0.06613801069572668;0.20717532805090003;0.9107971644897047;0.8616027733876918;0.7951138477246243;0.02095745187260076;0.11743977473970738;0.06613801069572668;0.20453523730803477
300;1496.25;0.8174594683472858;0.691893618360789;0.7344386130890456;0.7912945210656378;0.6077959126239079;0.5411392257347545;0.565952551217443;0.9091383353840006;0.8855033078538106;0.9358907078610006;0.8792203692728922;0.8942753900047641;0.7970146463989023;0.02542797243186438;0.08029663756337155;0.10101515156832558;0.2067397615635615;0.8818936172868429;0.8968665761384104;0.8011463683265729;0.022836786298218156;0.08029663756337155;0.10101515156832558;0.20414857542991524
350;1401.138888888889;0.828326503769906;0.7220019579736204;0.7609740722331463;0.7908415622289536;0.6106861174683322;0.5535062154932201;0.5757948312988259;0.9086456125445656;0.8809652625350948;0.9334292919657001;0.9108758355484312;0.8551978389613997;0.7898485702871749;0.02455378802183175;0.12024837301676859;0.06111612309618697;0.20591828413478735;0.9135883608473251;0.8576242277115358;0.7938071776286029;0.022127399271695655;0.12024837301676859;0.06111612309618697;0.20349189538465126
400;1388.5277777777778;0.838226028646012;0.7128755014609371;0.7573509461048773;0.7912290512652471;0.6213534304904328;0.552000202821881;0.578341058077029;0.9082907997363731;0.8801721076013546;0.9322383432100128;0.9099190009761534;0.8549391685681663;0.7890086143932189;0.02365775549810998;0.12140307593372374;0.06356421494668896;0.2086250463785227;0.9128548704863483;0.8575725309695035;0.7932952399441193;0.02102439309677281;0.12140307593372374;0.06356421494668896;0.20599168397718548
450;1395.861111111111;0.8337501982302733;0.714117896506585;0.7582518974339785;0.7918998416828815;0.6193542904567548;0.5528840207074508;0.5790643278976851;0.9092286080016547;0.8785221206236382;0.9309164351892226;0.9097300713391712;0.8522576475085244;0.7868093493452541;0.024062877186792765;0.12367947530468272;0.06310095639347839;0.2108433088849539;0.912779046426371;0.8549683397615567;0.7912229464092713;0.02135218493376047;0.12367947530468272;0.06310095639347839;0.20813261663192162
500;1423.138888888889;0.805606372588675;0.7202462861240962;0.7508775621772857;0.7907731578047065;0.6002636822267919;0.5566230899802332;0.5731997171870646;0.9074872176916663;0.8768797749057345;0.9254592862839686;0.8985294703030626;0.8582210746034554;0.7838597831868592;0.026577700310974853;0.11520122508556965;0.07295034295041504;0.21472926834695955;0.901702879360974;0.8611284825507379;0.7885331143142088;0.02367029236369239;0.11520122508556965;0.07295034295041504;0.21182186039967707
