ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;10792.466666666667;0.41427437930418354;0.24849979056957083;0.3007851881266059;0.49441336668001773;0.14346957195315327;0.08235298994157345;0.10121886083888927;0.7665189916808046;0.40011828253702203;0.4796495986803475;0.6929185725201831;0.29470755461271725;0.2558454248002774;0.10699672162154526;0.5982957237657375;0.05333742442960383;0.7586298698168865;0.7985112846387614;0.34487054292126107;0.30977558929097515;0.05683373331300152;0.5982957237657375;0.05333742442960383;0.7084668815083428
100;9852.766666666666;0.37433498435736917;0.22772255190550492;0.2736775154743209;0.4773622931639555;0.12900474528407205;0.07393993344032257;0.09076978067213516;0.7573111123885534;0.37302001979029786;0.4699252737940844;0.7012165799530484;0.26628573006108835;0.23417173073281322;0.094914510057767;0.6387997598811447;0.04777505543808643;0.7814893253769982;0.8032296655165142;0.3098482557752832;0.2807864000364137;0.05135198434357212;0.6387997598811447;0.04777505543808643;0.7379267996628032
150;10677.383333333333;0.3609282035868496;0.2287221629148344;0.27153689553892946;0.47977700593936257;0.12181600883393573;0.07381335481981094;0.08906091892597551;0.7598238358635474;0.38739059690998207;0.46044077031999736;0.6800210246974402;0.28295746335587435;0.24518471754242277;0.10928153422244333;0.6077610024216822;0.05677560331258153;0.7738181399567072;0.7849947687475098;0.3320549535735103;0.2969089715705274;0.060184044004807466;0.6077610024216822;0.05677560331258153;0.7247206497390712
200;10519.35;0.3535461604794268;0.22276295686024852;0.2647348902112524;0.4801226092754893;0.11952844683763525;0.07189908404060127;0.08691722238813863;0.7573040269896121;0.383948567132529;0.4606769335531706;0.6815230702618813;0.27834203927249085;0.2426546210887901;0.10705153552065158;0.6146064252068577;0.0516493943316954;0.7733073550592046;0.7882452860427719;0.32669828896343683;0.294099330333276;0.05869528582970562;0.6146064252068577;0.0516493943316954;0.7249511053682586
250;10355.933333333332;0.35523759798409527;0.22167723505189726;0.26479021589639024;0.47560721587369287;0.11674525724262559;0.06947205068183775;0.08442402863304964;0.7548573634105067;0.3754554650295425;0.45277508537090205;0.6779397931837136;0.27047179781072755;0.23547556596700922;0.10721308124423086;0.6223151209450415;0.05141352269471114;0.7809417248839837;0.7850946028888959;0.31836523464737837;0.2861508527067101;0.059319644407580155;0.6223151209450415;0.05141352269471114;0.7330482880473327
300;10372.85;0.3346803475641171;0.2142697469731959;0.2530691132828028;0.47408272869448265;0.11046053488930081;0.06771675506322355;0.08127123131940181;0.7550236460914143;0.37472569377180004;0.4493375891485652;0.6765160980368947;0.26982004259174075;0.23508692141357232;0.10668736826068102;0.6234925891475782;0.05137924761012888;0.781559205018388;0.783421128003681;0.31718307027012804;0.2852479178228347;0.05932434058229388;0.6234925891475782;0.05137924761012888;0.734196177340001
350;10939.016666666666;0.337517310138966;0.22295705065321994;0.2603620755704824;0.47895644635627976;0.11212759938921338;0.0709428360029582;0.084257398155039;0.758920393263391;0.38632259324827467;0.44659280486809017;0.6643591977681936;0.28329871990743083;0.2442773923084615;0.11661861582116424;0.6000826642714049;0.05792651052827381;0.774627790620843;0.7734756584339203;0.33493133606334413;0.29851999757367387;0.0649859996652509;0.6000826642714049;0.05792651052827381;0.7229951744649298
400;11154.466666666667;0.3248984964010841;0.2232571297233128;0.2566044456360002;0.4766138927645106;0.10680643883621153;0.0704241873023476;0.08230085271897272;0.7575984696204956;0.3878860473666766;0.44509614151015325;0.6555512706189467;0.2864546761459597;0.24556096352469642;0.12199903599819502;0.5915462878558453;0.061082049581167495;0.7746273734352079;0.7666421634094259;0.34024984833175215;0.30179810487535014;0.06820386381240247;0.5915462878558453;0.061082049581167495;0.7208322012494153
450;11265.283333333333;0.3098813084185006;0.2154355169896607;0.24652016729430812;0.4720453561606722;0.10248956864386778;0.0685134726105581;0.0796204086658416;0.7543150722431171;0.3847554089789964;0.43468841794818264;0.6447368211532649;0.28501192729708913;0.24319085408152782;0.12681511230991363;0.5881729603929972;0.06306825070651584;0.7780563234094268;0.7587168097384338;0.3405137563884156;0.301034878288759;0.07131328321858722;0.5881729603929972;0.06306825070651584;0.7225544943181004
500;10713.316666666668;0.3222958860716049;0.2176293401256913;0.2519811035680855;0.47131837784882286;0.1058337541156206;0.06854554441047433;0.0806612209635679;0.7510833375078192;0.3765685519735245;0.43862154987377766;0.6600105857596306;0.27390262169640095;0.2366641601634639;0.11723795431921437;0.6088594239843845;0.05472020196467826;0.7808175802682772;0.7708953039040002;0.3253422680200477;0.2905812981725726;0.06579830799556766;0.6088594239843845;0.05472020196467826;0.7293779339446306
550;12071.55;0.3161579191293541;0.23043240061650072;0.2592163973241113;0.47640862792894006;0.10343352889787853;0.07310972624882597;0.08328510356959921;0.7578403498323637;0.4023399947955607;0.43885061405778625;0.6387499078495363;0.30453424028261494;0.25712125114469725;0.1370609593421835;0.5584048003752017;0.06989162298970576;0.765357382707091;0.7525801287018087;0.3644279446561999;0.31928058077524946;0.07716725496859846;0.5584048003752017;0.06989162298970576;0.705463678333506
