ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;12078.216666666667;0.5563962371923346;0.48898766097721935;0.5039887032992174;0.531817619927343;0.2734046823764115;0.22454750788250036;0.2386496993943012;0.7843138608575067;0.4838845600950296;0.567331467712723;0.7515103913325921;0.3636607035923316;0.3236212973120593;0.08922215273674837;0.5471171436709201;0.033035382901373846;0.6693746793090424;0.8403601304608844;0.4062196869697974;0.37524262877336934;0.046663169359282636;0.5471171436709201;0.033035382901373846;0.6268156959315765
100;12875.45;0.5880134808135146;0.5244386328387931;0.5406503362902654;0.5532832942828981;0.30899771073235416;0.2615657991596311;0.27642880578237533;0.7868737442156312;0.5257508301667463;0.6100895869122208;0.7761800316239199;0.4032799564427894;0.36160889636993865;0.08256414918478766;0.5141558943724229;0.03367241193053204;0.6303924554877427;0.8532802212162677;0.44205340441658497;0.40995090732105016;0.04379070121099215;0.5141558943724229;0.03367241193053204;0.5916190075139471
150;15271.6;0.5533509822638439;0.5401965006052354;0.5363504589237048;0.5727763837274787;0.29577649980925974;0.2792814578917575;0.2819745186807855;0.792821707895838;0.5614000541415319;0.6164384322519114;0.7360880850013927;0.45992729269308497;0.39527021196944623;0.11240247916133696;0.42767022814557804;0.05502451385703793;0.5950972211639531;0.8177943332851183;0.5099803453410467;0.45662599244339686;0.06234942651337536;0.42767022814557804;0.05502451385703793;0.5450441685159914
200;15747.8;0.5638845825339888;0.5453417437893552;0.5447890556417029;0.5776291418888932;0.3070625129787595;0.28746364376805494;0.29188495607600945;0.793146035161935;0.5763105668248995;0.6254932591023682;0.7421816658554525;0.4770719171640241;0.4105280295532215;0.11014247436145055;0.4127856084745254;0.057757962629203;0.580686045465179;0.8192397839372166;0.5255756495100954;0.470243570907591;0.06163874201537917;0.4127856084745254;0.057757962629203;0.5321823131191075
250;15659.7;0.5573045269736308;0.5501263379571438;0.5440077862982181;0.5737002486972422;0.3000590416043893;0.28650585912538556;0.28815203326888233;0.7922772481563806;0.5729334894321186;0.6202441106103418;0.7382720605696489;0.4744896254668901;0.4068201340061593;0.11133649701183806;0.41417387752127194;0.060639782903432506;0.5861501574365424;0.8162215995164916;0.5238600613536757;0.46731704662936846;0.06196606112505228;0.41417387752127194;0.060639782903432506;0.5367797215497567
300;17535.8;0.5373075591769367;0.551823462931356;0.5357793111918348;0.5917966876616216;0.29360637479149776;0.2952063344085833;0.2898938891718984;0.7992481004320874;0.5956807672019683;0.6328760941198804;0.7139969764738529;0.5182864127573683;0.4297958330331218;0.12952167730235814;0.3521919099402735;0.08433317788972694;0.5660467651323586;0.7912293249007385;0.5736171786944609;0.4964266024636528;0.07419091136526555;0.3521919099402735;0.08433317788972694;0.5107159991952661
350;16276.7;0.5510506049540366;0.5611526397368334;0.5476074196413847;0.5833429149804483;0.3004249296884931;0.2976721420048008;0.29462813890207984;0.7956337476094363;0.5852815585965492;0.6305416808695331;0.7317588161205957;0.49394717253358494;0.4190373798355886;0.11653463444079995;0.3895181930256151;0.06830870354270752;0.5743615310091227;0.8076576083475077;0.5440986019778202;0.4805015668734533;0.06638320499656457;0.3895181930256151;0.06830870354270752;0.5242101015648872
400;15508.516666666666;0.5708139845330291;0.5552279260633256;0.5545246160630002;0.5790269938050742;0.31033641130082645;0.2937124824648708;0.29739373803419766;0.7932402783781671;0.5817609812129731;0.631363252449881;0.7512927482572892;0.4805743967906982;0.4156038543485368;0.10440901525132594;0.4150165879579758;0.057815265828073184;0.5772408690373749;0.8237781630329903;0.5260105225551418;0.4718535794995379;0.05897288948688226;0.4150165879579758;0.057815265828073184;0.5318047432729313
450;17139.916666666668;0.5534568513928378;0.5658137144318577;0.5509920571847927;0.5888739402144142;0.30693300724508354;0.3059994337284033;0.3018862742508966;0.7962671322269453;0.5983437972883968;0.6327362672608373;0.7268902823533493;0.515129449275946;0.4328406501002684;0.12061210022644482;0.3642584504976093;0.0780527342945412;0.5629232850185953;0.799805800426658;0.5661372358589478;0.49482085529399655;0.06960431364344298;0.3642584504976093;0.0780527342945412;0.5119154984355935
500;15585.383333333333;0.5662812307383284;0.5671317795675892;0.5588288570147709;0.5730094595191576;0.30465429790783366;0.2970563398249217;0.2967660722884546;0.7895718254997413;0.5790060088024632;0.6180605758214444;0.7424971575824523;0.4803338667232675;0.41295655155716676;0.10839944518459797;0.41126668809213446;0.0622426460660628;0.5819087793427953;0.8164425971170834;0.5271835994869835;0.47030994679942595;0.061549712420882044;0.41126668809213446;0.0622426460660628;0.5350590465790793
550;15728.3;0.5755543857138181;0.5716219745885536;0.5655645120156139;0.577251923562041;0.31145815440420627;0.30130011898771164;0.3021391951660659;0.7924958253285159;0.5836799745624417;0.622582164180902;0.7420704260616735;0.4872509447093599;0.4178845922659637;0.10955436868526208;0.40319468660537794;0.0639063330756791;0.5766553883663192;0.8156659068678899;0.5344456753817307;0.47574667784351854;0.062359638012891204;0.40319468660537794;0.0639063330756791;0.5294606576939482
