ep;note/levensthein;note/precision;note/recall;note/f1;note/overlap;note-with-offsets/precision;note-with-offsets/recall;note-with-offsets/f1;note-with-offsets/overlap;frame/f1;MusicNet/micro_avg_P;frame/precision;frame/recall;frame/accuracy;frame/substitution_error;frame/miss_error;frame/false_alarm_error;frame/total_error;frame/chroma_precision;frame/chroma_recall;frame/chroma_accuracy;frame/chroma_substitution_error;frame/chroma_miss_error;frame/chroma_false_alarm_error;frame/chroma_total_error
50;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08706101088234565;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
100;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08644463456668047;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
150;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08878425949135064;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
200;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08620673705417373;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
250;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07767725977608536;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
300;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07947446806915097;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
350;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10220091909484781;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
400;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11488477926835122;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
450;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1186669571234003;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
500;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12211543042464285;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
550;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13544494178250996;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
600;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1433715273333342;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
650;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14837298378534822;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
700;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1602816750939124;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
750;2571.883333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1599642001698571;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
800;2834.8166666666666;0.18956127768594846;0.006470340084994025;0.011713322097223524;0.29272140989396195;0.06485477604415094;0.0018136081058448459;0.003308780383883332;0.43254177139734157;0.013718117932824646;0.18456192521421474;0.4271056180422973;0.0071440554367370205;0.007042604622383825;0.006658471266129672;0.9861974732971334;0.0005039017805018548;0.9933598463437647;0.5866982714145563;0.009489729667860025;0.009403496950852947;0.0043127970350066705;0.9861974732971334;0.0005039017805018548;0.991014172112642
850;2684.5;0.2064004870289856;0.0036183307481639916;0.006757993074168443;0.2556855229510503;0.07610527464030663;0.0006038268544498941;0.0011320555789369976;0.3124825504953735;0.006085645584635628;0.22240075284896274;0.48979720310320646;0.003116570154833518;0.003083099744818025;0.00285621787053123;0.9940272119746354;4.009313661622482e-05;0.9969235229817826;0.6701408573652107;0.004704171087155625;0.004685332143491739;0.0012686169382091221;0.9940272119746354;4.009313661622482e-05;0.9953359220494605
900;2668.2;0.38002103928485514;0.006874963081842034;0.012823617843969182;0.3159186167907403;0.13334690764120757;0.0013691356271090943;0.0025897195582582477;0.4595946230102163;0.008509486488773543;0.23136952307820077;0.6672375324485326;0.00435834031696066;0.004332247103997809;0.0016418417959582691;0.993999817887081;0.00013158693316243952;0.9957732466162017;0.8399244708522632;0.005199684116481297;0.005180466991549078;0.0008004979964376305;0.993999817887081;0.00013158693316243952;0.9949319028166811
950;2764.6833333333334;0.31374905861995994;0.007706023381542192;0.014581522596404118;0.3128850607043521;0.09442409787388004;0.001883217382944743;0.003614534527888112;0.4748686094665506;0.012723075751458483;0.23603650441256502;0.6578634962213512;0.006499358818632268;0.006457161156030242;0.0030379737430679624;0.9904626674382997;0.00014771378071490413;0.9936483549620827;0.8438724857660639;0.00817299423478419;0.008146700909090481;0.0013643383269160397;0.9904626674382997;0.00014771378071490413;0.9919747195459309
1000;3274.1;0.27637773064984933;0.01943728218654284;0.03434661642764967;0.36596018533013713;0.08660712497172521;0.004572804567875399;0.008244880699388533;0.6196876644320639;0.02969224024306977;0.23530360906580478;0.475978139480097;0.015660481330878842;0.0153129199097355;0.01604234908204382;0.9682971695870773;0.0011367014928630776;0.9854762201619842;0.7913367539057119;0.0267062632642284;0.026497113122924108;0.004996567148694269;0.9682971695870773;0.0011367014928630776;0.9744304382286345
1050;3127.016666666667;0.3171699069148805;0.018410072072448255;0.033277499473896105;0.3950576436693003;0.10720428759423116;0.005053733468346697;0.009252648544867046;0.675781914524918;0.03352179573462868;0.2583880744160103;0.5892399456539253;0.01755079711703381;0.017261181188306753;0.010752387374923154;0.971696815508043;0.001341570099171883;0.983790772982138;0.7961570448744386;0.0237493603585773;0.0235448643051039;0.00455382413337966;0.971696815508043;0.001341570099171883;0.9775922097405946
1100;3311.766666666667;0.2631439261185308;0.018358565678304007;0.03214862107885868;0.4208441336956518;0.09576909649098;0.005949950800976799;0.0105159646033825;0.6908621105356337;0.041804419646889385;0.2669863990767398;0.5802258735551084;0.022322835693712104;0.0217494385705102;0.01434351943541286;0.963333644870875;0.00178868534489082;0.9794658496511788;0.798962631260832;0.03022858147678612;0.029817034927087222;0.0064377736523388435;0.963333644870875;0.00178868534489082;0.9715601038681047
1150;3188.0333333333333;0.3268902906562689;0.026530432100890684;0.045658739710939936;0.3788670273740362;0.11285775740187969;0.0068839769300211885;0.012230606684278769;0.6872419805794745;0.03779107420884196;0.27520843500175757;0.6023206516330739;0.01997835030946321;0.01957048277214586;0.011605643160688928;0.968416006529848;0.0013779772373348582;0.9813996269278716;0.8074793126291833;0.026573281713465225;0.02630835065237723;0.00501071175668692;0.968416006529848;0.0013779772373348582;0.9748046955238697
1200;3477.9666666666667;0.3160942407556377;0.028973882926723985;0.04981705873443605;0.3986047873013501;0.12050918270542926;0.008144136382680188;0.014313009405114586;0.7285890478188795;0.05089328083930908;0.28103547215438146;0.6107772543939086;0.027235754370689997;0.02655362239286458;0.015564245709695656;0.9571999999196145;0.0015970040577652056;0.9743612496870753;0.8115096024790633;0.0357833928581423;0.0353369476279468;0.007016607222243349;0.9571999999196145;0.0015970040577652056;0.9658136111996227
